,headline,url,date
0,Trump administration to withdraw controversial nominee for Bureau of Land Management,//www.cnn.com/2020/08/15/politics/william-perry-pendley-bureau-of-land-management-nomination-withdraw/index.html,"Aug 15, 2020"
1,Pandemic power play: It's China vs. the US in Latin America,//www.cnn.com/2020/08/15/americas/latam-china-us-covid-diplomacy-intl/index.html,"Aug 15, 2020"
2,Tropical Storm Isaias left New Jersey beaches with a case of 'sea lice',//www.cnn.com/2020/08/14/us/isaias-new-jersey-sea-lice-trnd/index.html,"Aug 14, 2020"
3,"Wildfires have scorched about 100,000 acres in 3 states. The weather could make things worse",//www.cnn.com/2020/08/14/us/wildfires-california-oregon-colorado/index.html,"Aug 14, 2020"
4,"Greenland's ice sheet has melted to a point of no return, according to new study",//www.cnn.com/2020/08/14/weather/greenland-ice-sheet/index.html,"Aug 14, 2020"
5,Biden's biggest impact would come from serving a single term,//www.cnn.com/2020/08/14/opinions/biden-commit-to-one-term-wierson-honan/index.html,"Aug 14, 2020"
6,It's time for Democrats to go big,//www.cnn.com/2020/08/14/opinions/democratic-party-vision-future-roundup/index.html,"Aug 14, 2020"
7,"Last decade was Earth's hottest on record, exposing grim reality of climate change",//www.cnn.com/2020/08/13/world/state-of-climate-report-2019-intl-hnk-scn/index.html,"Aug 13, 2020"
8,"Hundreds have been evacuated after wildfires destroy more than 90,000 acres across 3 states",//www.cnn.com/2020/08/13/us/wildfires-california-oregon-colorado/index.html,"Aug 13, 2020"
9,Hand over the political reins to millennials,//www.cnn.com/2020/08/13/opinions/give-political-reins-to-millennials-gen-z-filipovic/index.html,"Aug 13, 2020"
10,EPA to relax greenhouse gas emission requirements,//www.cnn.com/2020/08/13/politics/methane-emissions-epa/index.html,"Aug 13, 2020"
11,"Climate change spelled doom for woolly rhinos 14,000 years ago, study says",//www.cnn.com/2020/08/13/world/woolly-rhinos-extinction-climate-change-scn/index.html,"Aug 13, 2020"
12,From Google to garbage disposal: the environmentalist cleaning up India's lakes,//www.cnn.com/2020/08/12/asia/environmentalist-india-lakes-c2e-scn-spc-intl/index.html,"Aug 12, 2020"
13,Three killed in passenger train derailment after storms in northeast Scotland,//www.cnn.com/2020/08/12/uk/aberdeen-train-derailment-scli-intl-gbr/index.html,"Aug 12, 2020"
14,'People cannot be illegal.' Ben & Jerry's slams UK over its handling of refugees,//www.cnn.com/2020/08/12/business/ben-jerrys-uk-refugees/index.html,"Aug 12, 2020"
15,Teen Vogue's August issue tackles voter suppression,//www.cnn.com/2020/08/11/media/teen-vogue-voting-rights/index.html,"Aug 11, 2020"
16,Alexandria Ocasio-Cortez among high-profile Latinos participating in Democratic convention,//www.cnn.com/2020/08/10/politics/aoc-democratic-national-convention/index.html,"Aug 10, 2020"
17,Does BP's conversion signal the end of Big Oil?,//www.cnn.com/2020/08/09/investing/stocks-week-ahead/index.html,"Aug 9, 2020"
18,A small town in Washington hopes vampires will revive its tourism industry,//www.cnn.com/travel/article/forks-washington-twilight-midnight-sun/index.html,"Aug 8, 2020"
19,"This New Zealand man gets paid $10,000 a year to be a city's official wizard",//www.cnn.com/2020/08/08/asia/new-zealand-wizard-intl-hnk-dst/index.html,"Aug 8, 2020"
20,"He's been stung 1,000 times --  for science",//www.cnn.com/2020/08/08/us/king-of-sting-great-big-story-scn-trnd/index.html,"Aug 8, 2020"
21,August 7 coronavirus news,//www.cnn.com/world/live-news/coronavirus-pandemic-08-07-20-intl/index.html,"Aug 6, 2020"
22,The latest on the coronavirus pandemic,//www.cnn.com/world/live-news/coronavirus-pandemic-08-06-20-intl/index.html,"Aug 5, 2020"
23,5 lessons from the pandemic to tackle the climate crisis,//www.cnn.com/2020/08/07/weather/5-lessons-coronavirus-climate-crisis-weir-wxc/index.html,"Aug 7, 2020"
24,Resort evacuated over fears of Mont Blanc glacier collapse,//www.cnn.com/travel/article/evacuation-mont-blanc-glacier-collapse-scli-intl/index.html,"Aug 7, 2020"
25,"Levi Strauss CEO: Business leaders, give your employees time off to vote",//www.cnn.com/2020/08/07/perspectives/levi-strauss-ceo-chip-bergh-vote-election/index.html,"Aug 7, 2020"
26,"2020 Atlantic hurricane season will be 'extremely active,' NOAA says in updated forecast",//www.cnn.com/2020/08/06/weather/noaa-2020-hurricane-forecast-revision/index.html,"Aug 6, 2020"
27,"Seabird poop is worth millions, say scientists trying to save the birds",//www.cnn.com/2020/08/06/world/sea-bird-conservation-value-of-poop-scn-trnd/index.html,"Aug 6, 2020"
28,"Two Canadian Arctic ice caps have completely disappeared, satellite imagery shows",//www.cnn.com/2020/08/05/weather/st-patrick-bay-ice-caps-climate-change-trnd-scn/index.html,"Aug 5, 2020"
29,Toxic chemicals from burning fossil fuels poison dolphins and whales on East Coast,//www.cnn.com/2020/08/05/world/dolphins-whales-chemical-poisoning-scn/index.html,"Aug 5, 2020"
30,"He's been stung 1,000 times --  for science",//www.cnn.com/2020/08/08/us/king-of-sting-great-big-story-scn-trnd/index.html,"Aug 8, 2020"
31,August 7 coronavirus news,//www.cnn.com/world/live-news/coronavirus-pandemic-08-07-20-intl/index.html,"Aug 6, 2020"
32,The latest on the coronavirus pandemic,//www.cnn.com/world/live-news/coronavirus-pandemic-08-06-20-intl/index.html,"Aug 5, 2020"
33,5 lessons from the pandemic to tackle the climate crisis,//www.cnn.com/2020/08/07/weather/5-lessons-coronavirus-climate-crisis-weir-wxc/index.html,"Aug 7, 2020"
34,Resort evacuated over fears of Mont Blanc glacier collapse,//www.cnn.com/travel/article/evacuation-mont-blanc-glacier-collapse-scli-intl/index.html,"Aug 7, 2020"
35,"Levi Strauss CEO: Business leaders, give your employees time off to vote",//www.cnn.com/2020/08/07/perspectives/levi-strauss-ceo-chip-bergh-vote-election/index.html,"Aug 7, 2020"
36,"2020 Atlantic hurricane season will be 'extremely active,' NOAA says in updated forecast",//www.cnn.com/2020/08/06/weather/noaa-2020-hurricane-forecast-revision/index.html,"Aug 6, 2020"
37,"Seabird poop is worth millions, say scientists trying to save the birds",//www.cnn.com/2020/08/06/world/sea-bird-conservation-value-of-poop-scn-trnd/index.html,"Aug 6, 2020"
38,"Two Canadian Arctic ice caps have completely disappeared, satellite imagery shows",//www.cnn.com/2020/08/05/weather/st-patrick-bay-ice-caps-climate-change-trnd-scn/index.html,"Aug 5, 2020"
39,Toxic chemicals from burning fossil fuels poison dolphins and whales on East Coast,//www.cnn.com/2020/08/05/world/dolphins-whales-chemical-poisoning-scn/index.html,"Aug 5, 2020"
40,Why facing our feelings is essential for tackling our climate crisis,//www.cnn.com/2020/04/23/opinions/climate-crisis-psychology-lertzman/index.html,"Apr 23, 2020"
41,"Undeterred by potential Trump ban, outside digital organizers rally enthusiasm for Joe Biden on TikTok",//www.cnn.com/2020/08/05/politics/digital-organizers-tiktok-biden/index.html,"Aug 5, 2020"
42,Explorer's mission to photograph a century of climate change in Patagonia,//www.cnn.com/2020/08/04/americas/cristian-donoso-patagonia-climate-change-spc-c2e-intl-scn/index.html,"Aug 4, 2020"
