,headline,url,date
0,"EPA announces new rules to reduce methane regulation, assures science will back changes",/politics/epa-announces-new-rules-to-reduce-methane-regulation,The Environmental Protection Agency (EPA) under Administrator Andrew Wheeler on Thursday announced new rules to reduce Obama-era methane pollution regulation.
1,Bill Gates claims pandemic's 'misery' will 'happen regularly' if climate change is not stopped,/media/bill-gates-coronavirus-pandemic-climate-change,"Billionaire Bill Gates wants the United States to treat climate change with the ""same sense of urgency"" with which it has responded to COVID-19, arguing that the impacts of the former will be much worse without corrective action."
2,"Greta Thunberg awarded $1.15M Gulbenkian Prize for Humanity, will donate to climate groups",/world/greta-thunberg-awarded-gulbenkian-prize-for-humanity-donate-climate-groups,Teenage Swedish climate activist Greta Thunberg was just awarded $1.15 million in prize money for the 2020 Gulbenkian Prize for Humanity – and she’s already pledged to give all of it away to environmental groups.
3,Andy Puzder: Biden's climate change policy would cause more economic harm than coronavirus,/opinion/elections-energy-biden-andy-puzder,"If you think the economic shutdown caused by the coronavirus pandemic was bad, be forewarned: the economic impact of former Vice President Joe Biden’s new climate change plan would make the last few months look like prosperity."
4,"Texas Democratic congressional candidate Gus Trujillo: 'I want to be a voice for the people, not for the president'",/media/gus-trujillo-on-facing-ronny-jackson-in-november-race,Texas Democratic Congressional nominee Gus Trujillo hopes to be a voice for the people of his district and not President Trump.
5,"'Extraordinary' increase of coastal flooding in US due to sea level rise, report says",/us/coastal-flooding-us-sea-level-rise-high-tide-flood-weather-climate-noaa,"Communities in coastal areas of the U.S. saw record-setting high-tide flooding last year, part of a trend of rising seas that government scientists said Tuesday is expected to continue into 2021."
6,Daniel Turner: Biden’s harmful radical energy plan panders to AOC and other far-left extremists for votes,/opinion/joe-biden-energy-plan-daniel-turner,"Former Vice President Joe Biden unveiled a confusing and impractical $2 trillion plan to combat climate change Tuesday that would harm our economy, destroy more jobs than it would create, and offer little if any environmental benefits in a world where China and other nations keep increasing carbon dioxide emissions."
7,Gutfeld knocks Biden over climate change plan: 'Apocalyptic nine-year vision' is 'not based on any science',/media/greg-gutfeld-biden-climate-change-apocalyptic-vision,"""The Five"" co-host Greg Gutfeld argued Tuesday that Joe Biden's strategy to combat climate change is not based on established science but rather left-wing ""hysteria"" conjured by Rep. Alexandria Ocasio-Cortez, D-N.Y."
8,"Biden unveils $2 trillion plan to boost clean energy, rebuild infrastructure",/politics/biden-2-trillion-boost-clean-energy-rebuild-infrastructure,"Democratic presidential nominee Joe Biden on Tuesday unveiled $2 trillion plan to boost clean energy, rebuild infrastructure."
9,Greenpeace activists hang banner on Notre Dame Cathedral crane,/world/greenpeace-activists-hang-banner-on-notre-dame-cathedral-crane,"Greenpeace activists hung banners from a huge construction crane atop Notre Dame Cathedral in Paris on Thursday, accusing France and President Emmanuel Macron of not doing enough to fight climate change."
10,"Biden campaign announces climate council to help mobilize voters, members include ex-rival Steyer",/politics/joe-biden-campaign-climate-council-tom-steyer,"Presumptive Democratic nominee Joe Biden’s campaign on Friday announced the formation of a Climate Engagement Advisory Council, which is designed to inform the campaign how to mobilize climate-focused voters to back Biden in November."
11,House Dems turn to 'environmental justice' with massive climate change blueprint,/politics/house-dems-turn-to-environmental-justice-with-massive-climate-change-blueprint,"House Democrats on Tuesday released a 547-page blueprint on how to combat climate change, in which they called for “environmental justice” to be put at the heart of environmental and climate change policy in the coming years."
12,"Justin Haskins: Al Gore, John Kerry, others have radical plans for a 'Great Reset’ of capitalism",/opinion/gore-kerry-radical-great-reset-capitalism-justin-haskins,"The “Great Reset"" is rapidly gaining popularity among many of the world’s most powerful movers and shakers."
13,Daniel Turner: Carbon tax is a bad idea that would hurt our economy and destroy jobs,/opinion/climate-change-tax-daniel-turner,The absolute last thing our country needs is a new tax that would slow our economic recovery and hiring. But environmental zealots have never let facts get in the way of their radical polices to restructure our entire economy to be “green.”
14,"May 2020 tied the hottest May on record, forecasters say",/us/may-2020-weather-record-warm-climate-temperature-forecast,The heat was on last month.
15,"Hurricanes are growing stronger as climate warms, new NOAA study shows",/science/hurricanes-growing-stronger-climate-warms,"Hurricanes are reportedly strengthening as the Earth's climate grows warmer, according to a new study."
