,headline,url,date,author,summary
0,"Trump lifts Obama-era regulations on methane, a potent climate-warming gas",https://www.cnbc.com/2020/08/13/trump-lifts-obama-era-regulations-on-climate-changing-methane-gas.html?&qsearchterm=CLIMATE CHANGE,8/13/2020 4:12:29 PM ET,Emma Newburger,The Trump administration on Thursday weakened Obama-era regulations designed to reduce climate-warming methane gas emissions from oil and gas fields. The Environmental Protection Agency’s new ...
1,"Coastal flooding could hit nearly 20% of global GDP as climate change accelerates storms, sea ...",https://www.cnbc.com/2020/07/30/climate-change-coastal-flooding-could-hit-20percent-of-gdp-by-2100.html?&qsearchterm=CLIMATE CHANGE,7/30/2020 11:02:44 AM ET,Emma Newburger,"Coastal flooding made worse by climate change could damage assets worth up to $14.2 trillion by 2100 as rising seas inundate coastal homes and infrastructure, ..."
2,How ‘climate-smart’ villages could change the way people farm,https://www.cnbc.com/video/2020/08/07/how-climate-smart-villages-could-change-the-way-people-farm.html?&qsearchterm=CLIMATE CHANGE,8/7/2020 2:41:57 AM ET,Emma Newburger,"Colombia produces everything from coffee and sugarcane to bananas, cocoa and rice."
3,"In Colombia, ‘climate-smart’ villages show how the future of farming could look",https://www.cnbc.com/2020/08/07/in-colombia-climate-smart-villages-could-show-future-of-farming.html?&qsearchterm=CLIMATE CHANGE,8/7/2020 8:36:33 AM ET,Anmar Frangoul,"A country of vivid beauty, Colombia is home to vast swathes of fertile land producing everything from coffee and sugarcane to bananas, cocoa and rice. ..."
4,How the Fed and Wall Street view of climate change is evolving under pressure,https://www.cnbc.com/2020/07/22/fed-gets-new-carbon-warning-will-never-be-a-vaccine-for-climate.html?&qsearchterm=CLIMATE CHANGE,7/22/2020 1:28:55 PM ET,Nicole Dienst,"As the Federal Reserve Bank works to shore up the U.S. economy amid an unprecedented global crisis, top institutional investors and climate advocacy groups sent ..."
5,"How Nuveen is addressing some of the world’s biggest issues, such as climate change and ...",https://www.cnbc.com/video/2020/08/06/how-nuveen-is-addressing-some-of-the-worlds-biggest-issues-such-as-climate-change-and-income-inequality-through-a-targeted-investment-fund.html?&qsearchterm=CLIMATE CHANGE,8/6/2020 6:41:41 AM ET,Nicole Dienst,Rekha Unnithan of Nuveen discusses how the firm is raising $150 million for a new private equity fund designed to address income inequality and environmental ...
6,ECB’s Christine Lagarde to ‘explore every avenue available’ to tackle climate change,https://www.cnbc.com/2020/07/08/ecbs-christine-lagarde-to-explore-options-on-tackling-climate-change.html?&qsearchterm=CLIMATE CHANGE,7/8/2020 7:24:34 AM ET,Anmar Frangoul,"Christine Lagarde, the president of the European Central Bank, has hinted that the institution could use its asset purchase program to focus on green goals.Speaking ..."
7,Amazon’s Climate Pledge Arena set to change the game rules on green stadium design,https://www.cnbc.com/2020/07/12/amazons-climate-pledge-arena-to-change-rules-on-green-stadium-design.html?&qsearchterm=CLIMATE CHANGE,7/12/2020 11:00:01 AM ET,Nicole Dienst,Sports stadiums and arenas sit idle with a return to professional and college sports still hanging in the balance amid the coronavirus pandemic. When fans ...
8,BlackRock CEO Larry Fink on climate change and ESG investing,https://www.cnbc.com/video/2020/07/17/blackrock-ceo-larry-fink-climate-change-esg-investing.html?&qsearchterm=CLIMATE CHANGE,7/17/2020 8:17:59 AM ET,Nicole Dienst,"BlackRock Chairman and CEO Larry Fink joins “Squawk Box” to discuss the asset manager’s position on environmental, social and governance (ESG) issues when making investment ..."
9,Climate change is fueling extreme weather that lowers cancer survival rate and threatens prevention,https://www.cnbc.com/2020/05/18/climate-change-fuels-extreme-weather-that-lowers-cancer-survival-rate.html?&qsearchterm=CLIMATE CHANGE,5/18/2020 6:00:01 AM ET,Emma Newburger,"Climate change is hindering progress on cancer prevention and increasing people’s exposure to deadly carcinogens, according to a new report from scientists at the American ..."
10,This interactive tool shows you how the coronavirus pandemic is—and is not—affecting climate change,https://www.cnbc.com/2020/05/01/interactive-tool-how-coronavirus-pandemic-affecting-climate-change.html?&qsearchterm=CLIMATE CHANGE,5/1/2020 5:52:15 PM ET,Emma Newburger,Comprehending the enormity of climate change is about as mind-bending as understanding the ultimate effect novel coronavirus SARS-CoV-2 (the virus that causes Covid-19) will have ...
11,"Climate change is driving widespread forest death and creating shorter, younger trees",https://www.cnbc.com/2020/05/28/climate-change-is-driving-widespread-forest-death-creating-shorter-trees.html?&qsearchterm=CLIMATE CHANGE,5/28/2020 2:00:01 PM ET,Emma Newburger,"Forests across the world are transforming as the Earth heats up and as more frequent and severe droughts, wildfires and disease outbreaks destroy trees.In a ..."
12,More dams will collapse as aging infrastructure can’t keep up with climate change,https://www.cnbc.com/2020/05/21/more-dams-will-collapse-as-aging-infrastructure-cant-keep-up-with-climate-change.html?&qsearchterm=CLIMATE CHANGE,5/21/2020 2:49:50 PM ET,Emma Newburger,The collapse of two Michigan dams on Tuesday following heavy rainfall has triggered concerns over how precarious dam infrastructure in the U.S. is inadequate to ...
13,Amazon wins naming rights to new Seattle stadium and will call it the Climate Pledge ...,https://www.cnbc.com/2020/06/25/amazon-wins-naming-rights-to-new-seattle-stadium-climate-pledge-arena.html?&qsearchterm=CLIMATE CHANGE,6/25/2020 3:06:08 PM ET,Annie Palmer,"Amazon has bought the naming rights to downtown Seattle’s arena which will house a new NHL team and the Women’s National Basketball Association’s Seattle Storm, ..."
14,"Global warming trends highlight ‘enormous challenge’ of meeting Paris climate pledge, WMO says",https://www.cnbc.com/2020/07/09/global-warming-trends-highlight-enormous-challenge-of-meeting-paris-climate-pledge-wmo-says.html?&qsearchterm=CLIMATE CHANGE,7/9/2020 8:57:25 AM ET,Annie Palmer,"Global temperatures will continue to warm over the next five years, and may even temporarily rise to more than 1.5 degrees Celsius above pre-industrial levels, ..."
15,"Greenland’s ice sheet melts by record amount due to climate change, study shows",https://www.cnbc.com/2020/04/15/climate-change-greenlands-ice-sheet-melts-by-record-amount.html?&qsearchterm=CLIMATE CHANGE,4/15/2020 2:58:49 PM ET,Emma Newburger,"Greenland’s ice sheet experienced record melting last year that was driven by hotter temperatures and more frequent atmospheric circulation patterns triggered by climate change, scientists ..."
16,Bill Gates’ climate-change investment firm bets on lab-produced breast milk,https://www.cnbc.com/2020/06/16/biomilq-raises-3point5-million-from-bill-gates-investment-firm.html?&qsearchterm=CLIMATE CHANGE,6/16/2020 9:14:56 AM ET,Aditi Roy,"Beyond Meat and Impossible Foods are two of the best-known companies disrupting the food sector. Now, the pipeline of alt-food companies includes Biomilq, a North ..."
17,"Air pollution falls as coronavirus slows travel, but scientists warn of longer-term threat to climate ...",https://www.cnbc.com/2020/03/21/air-pollution-falls-as-coronavirus-slows-travel-but-it-forms-a-new-threat.html?&qsearchterm=CLIMATE CHANGE,3/22/2020 9:01:01 AM ET,Emma Newburger,"Canal water in Venice has cleared up without boat traffic. Air pollution in China has plunged amid unprecedented lockdowns. In Thailand and Japan, mobs of ..."
18,Amazon invests $10 million to help conserve forests as part of climate change plan,https://www.cnbc.com/2020/04/21/amazon-invests-10-million-for-forest-conservation-in-climate-change-plan.html?&qsearchterm=CLIMATE CHANGE,4/21/2020 9:23:14 AM ET,Annie Palmer,"Amazon is investing $10 million to help conserve or restore forests in the northeastern U.S., as part of its pledge to be carbon neutral by ..."
19,Bill Gates: How the coronavirus pandemic can help the world solve climate change,https://www.cnbc.com/2020/03/31/bill-gates-how-covid-19-pandemic-can-help-world-solve-climate-change.html?&qsearchterm=CLIMATE CHANGE,3/31/2020 9:23:06 AM ET,Annie Palmer,Though the economic and social shutdowns due to COVID-19 in countries across the globe has meant a temporary reprieve from some of the most obvious ...
20,UPDATE 5-Climate change gets first mention in G20 finance communique of Trump era,https://www.cnbc.com/2020/02/23/reuters-america-update-5-climate-change-gets-first-mention-in-g20-finance-communique-of-trump-era.html?&qsearchterm=CLIMATE CHANGE,2/23/2020 6:05:00 PM ET,Annie Palmer,era@* U.S. resists naming climate change as economic risk* Mnuchin denies bowing to European pressure* IMF says climate-related disasters could derail recovery* Communique finalized on ...
21,"Hotter winters, darker syrup: Maple farmers fear climate change will upend New York’s industry",https://www.cnbc.com/2020/03/07/climate-change-could-upend-new-yorks-maple-syrup-industry.html?&qsearchterm=CLIMATE CHANGE,3/7/2020 11:01:01 AM ET,Emma Newburger,"ORANGE COUNTY, NY — Dana Putnam drilled into a maple tree, added a plastic tube and waited for the sap to flow.Nothing happened.It’s the end ..."
22,Amazon is launching a $2 billion fund to invest in climate technologies,https://www.cnbc.com/2020/06/23/amazon-launches-2-billion-fund-to-invest-in-climate-technologies.html?&qsearchterm=CLIMATE CHANGE,6/23/2020 9:08:42 AM ET,Annie Palmer,"Amazon is launching a $2 billion venture capital fund that will back companies building “sustainable and decarbonizing technologies,” the company announced Tuesday.The Climate Pledge Fund ..."
23,Elizabeth Warren pushes Larry Fink on BlackRock’s pledge to fight climate change,https://www.cnbc.com/2020/02/26/elizabeth-warren-pushes-larry-fink-on-blackrocks-pledge-to-fight-climate-change.html?&qsearchterm=CLIMATE CHANGE,2/26/2020 12:33:44 PM ET,Lauren Hirsch,"Sen. Elizabeth Warren wants Blackrock’s Larry Fink to put more strength behind his pledge to have the world’s largest money manager tackle climate change, and ..."
24,"Three things Wall Street can do to show it’s serious about climate change, according to ...",https://www.cnbc.com/2020/02/28/hannon-armstrong-ceo-says-wall-street-needs-more-climate-change-action.html?&qsearchterm=CLIMATE CHANGE,2/28/2020 8:24:04 PM ET,Kevin Stankiewicz,"Wall Street’s attitude toward climate change has seemed to shift in recent months, but it is far from showing it’s truly serious about sustainable investing, ..."
25,"UPDATE 1-Australia’s APRA says climate change a focus, seeking stress tests",https://www.cnbc.com/2020/02/24/reuters-america-update-1-australias-apra-says-climate-change-a-focus-seeking-stress-tests.html?&qsearchterm=CLIMATE CHANGE,2/24/2020 1:56:00 AM ET,Kevin Stankiewicz,"(Adds comment from APRA board member, context)SYDNEY, Feb 24 (Reuters) - Australia’s prudential regulator said on Monday it was looking to better understand the financial ..."
